AbbreviatedCaseNumber  # Abbreviated Case Number
CaseNumber  # Case Number
catAx  # Category Axis Data
cat  # Category
cat  # Category
cat  # Category Axis Data
cat  # Color Transform Category
catLst  # Category List
catLst  # Category List
catLst  # Color Transform Category List
c  # Cell
c  # Cell
cellMerge  # Vertically Merged/Split Table Cells
cellSmartTag  # Cell Smart Tag
cellSmartTagPr  # Smart Tag Properties
cellStyleXfs  # Formatting Records
cellWatch  # Cell Watch Item
cellWatches  # Cell Watch Items
cellXfs  # Cell Formats
cell3D  # Cell 3-D
cfRule  # Conditional Formatting Rule
cfvo  # Conditional Format Value Object
cGp  # Matrix Column Gap
cGpRule  # Matrix Column Gap Rule
circle  # Circle Slide Transition
citation  # Citation Structured Document Tag
City  # City
clickAndTypeStyle  # Paragraph Style Applied to Automatically Generated Paragraphs
clientData  # Client Data
close  # Close Shape Path
clrFrom  # Change Color From
clrChange  # Color Change Effect
clrMap  # Color Map
clrMap  # Color Scheme Map
clrMapOvr  # Color Map Override
clrMapOvr  # Color Scheme Map Override
clrMru  # Color MRU
clrRepl  # Solid Color Replacement
clrScheme  # Color Scheme
clrSchemeMapping  # Theme Color Mappings
clrTo  # Change Color To
clrVal  # Color Value
clsid  # Class ID
cmAuthor  # Comment Author
cm  # Comment
cmd  # Command
cmLst  # Comment List
cnfStyle  # Paragraph Conditional Formatting
cnfStyle  # Table Cell Conditional Formatting
cnfStyle  # Table Row Conditional Formatting
cNvCnPr  # Non-Visual Connector Shape Drawing Properties
cNvContentPartPr  # Non-Visual Content Part Drawing Properties
cNvCxnSpPr  # Non-Visual Connection Shape Drawing Properties
cNvCxnSpPr  # Non-Visual Connector Shape Drawing Properties
cNvCxnSpPr  # Non-Visual Connector Shape Drawing Properties
cNvCxnSpPr  # Non-Visual Connector Shape Drawing Properties
cNvGraphicFramePr  # Common DrawingML Non-Visual Properties
cNvGraphicFramePr  # Non-Visual Graphic Frame Drawing Properties
cNvGraphicFramePr  # Non-Visual Graphic Frame Drawing Properties
cNvGraphicFramePr  # Non-Visual Graphic Frame Drawing Properties
cNvGraphicFramePr  # Non-Visual Graphic Frame Drawing Properties
cNvGrpSpPr  # Non-Visual Group Shape Drawing Properties
cNvGrpSpPr  # Non-Visual Group Shape Drawing Properties
cNvGrpSpPr  # Non-Visual Group Shape Drawing Properties
cNvGrpSpPr  # Non-Visual Group Shape Drawing Properties
cNvGrpSpPr  # Non-Visual Group Shape Drawing Properties
cNvPicPr  # Non-Visual Picture Drawing Properties
cNvPicPr  # Non-Visual Picture Drawing Properties
cNvPicPr  # Non-Visual Picture Drawing Properties
cNvPicPr  # Non-Visual Picture Drawing Properties
cNvPicPr  # Non-Visual Picture Drawing Properties
cNvPr  # Non-Visual Drawing Properties
cNvPr  # Non-Visual Drawing Properties
cNvPr  # Non-Visual Drawing Properties
cNvPr  # Non-Visual Drawing Properties
cNvPr  # Non-Visual Drawing Properties
cNvPr  # Non-Visual Drawing Properties
cNvSpPr  # Connection Non-Visual Shape Properties
cNvSpPr  # Non-Visual Drawing Properties for a Shape
cNvSpPr  # Non-Visual Drawing Properties for a Shape
cNvSpPr  # Non-Visual Shape Drawing Properties
cNvSpPr  # Non-Visual Shape Drawing Properties
colBreaks  # Vertical Page Breaks
col  # Column Width & Formatting
colDelim  # Column Delimiter for Data Source
colFields  # Column Fields
colHierarchiesUsage  # Column OLAP Hierarchy References
colHierarchyUsage  # Column OLAP Hierarchies
color  # Data Bar Color
colorFilter  # Color Filter Criteria
color  # Frameset Splitter Color
color  # Run Content Color
colorScale  # Color Scale
colors  # Colors
colorsDefHdr  # Color Transform Definition Header
colorsDefHdrLst  # Color Transform Header List
cols  # Column Definitions
cols  # Column Information
col  # Single Column Definition
column  # Index of Column Being Mapped
comb  # Comb Slide Transition
comboBox  # Combo Box Structured Document Tag
comment  # Comment
comment  # Comment Content
commentPr  # Comment Properties
commentRangeEnd  # Comment Anchor Range End
commentRangeStart  # Comment Anchor Range Start
commentReference  # Comment Content Reference Mark
comments  # Comments
comments  # Comments Collection
Company  # Name of Company
compat  # Compatibility Settings
compatSetting  # Custom Compatibility Setting
Compiler  # Compiler
Composer  # Composer
cond  # Condition
condense  # Condense
conditionalFormat  # Conditional Formatting
conditionalFormats  # Conditional Formats
conditionalFormatting  # Conditional Formatting
Conductor  # Conductor
ConferenceName  # Conference or Proceedings Name
connection  # Connection
connections  # Connections
connectString  # Data Source Connection String
consecutiveHyphenLimit  # Maximum Number of Consecutively Hyphenated Lines
consolidation  # Consolidation Source
constr  # Constraint
constrLst  # Constraint List
cont  # Effect Container
contentPart  # Content Part
contentPart  # Content Part
contentPart  # Content Part
contentPart  # Content Part
contextualSpacing  # Ignore Spacing Above and Below When Using Identical Styles
continuationSeparator  # Continuation Separator Mark
contourClr  # Contour Color
control  # Embedded Control
control  # Embedded Control
control  # Embedded Control
controls  # List of controls
Corporate  # Corporate Author
Counsel  # Counsel
count  # Matrix Column Count
CountryRegion  # Country or Region
cpLocks  # Content Part Locks
cr  # Carriage Return
crossAx  # Crossing Axis ID
crossBetween  # Cross Between
cs  # Complex Script Font
cSld  # Common Slide Data
cSldViewPr  # Common Slide View Properties
cSp  # Minimum Matrix Column Width
cs  # Use Complex Script Formatting on Run
cTn  # Common Time Node Properties
ctrlPr  # Control Properties
cubicBezTo  # Draw Cubic Bezier Curve To
custClr  # Custom color
custClrLst  # Custom Color List
custDash  # Custom Dash
custData  # Customer Data
custDataLst  # Customer Data List
custGeom  # Custom Geometry
customFilter  # Custom Filter Criteria
customPr  # Custom Property
customProperties  # Custom Properties
customSheetView  # Custom Chart Sheet View
customSheetView  # Custom Sheet View
customSheetViews  # Custom Chart Sheet Views
customSheetViews  # Custom Sheet Views
customWorkbookViews  # Custom Workbook Views
customXml  # Cell-Level Custom XML Element
customXmlDelRangeEnd  # Custom XML Markup Deletion End
customXmlDelRangeStart  # Custom XML Markup Deletion Start
customXml  # Inline-Level Custom XML Element
customXmlInsRangeEnd  # Custom XML Markup Insertion End
customXmlInsRangeStart  # Custom XML Markup Insertion Start
customXmlMoveFromRangeEnd  # Custom XML Markup Move Source End
customXmlMoveFromRangeStart  # Custom XML Markup Move Source Start
customXmlMoveToRangeStart  # Custom XML Markup Move Destination Location Start
customXmlPr  # Custom XML Element Properties
customXml  # Row-Level Custom XML Element
custShow  # Custom Show
custShow  # Custom Show
custShowLst  # List of Custom Shows
custUnit  # Custom Display Unit
cut  # Cut Slide Transition
cViewPr  # Common View Properties
cxn  # Connection
cxnLst  # Connection List
cxnLst  # List of Shape Connection Sites
cxn  # Shape Connection Site
cxnSp  # Connection Shape
cxnSp  # Connection Shape
cxnSp  # Connection Shape
cxnSp  # Connection Shape
cxnSpLocks  # Connection Shape Locks
dataBar  # Data Bar
dataBinding  # XML Mapping
dataConsolidate  # Data Consolidate
data  # Data Cannot Be Changed
dataField  # Data Field Item
dataFields  # Data Fields
dataModel  # Data Model
dataRef  # Data Consolidation Reference
dataRefs  # Data Consolidation References
dataSource  # Data Source File Path
datastoreItem  # Custom XML Data Properties
dataType  # Data Source Type
dataValidation  # Data Validation
dataValidations  # Data Validations
dateAx  # Date Axis
date  # Date and Time
date  # Date Structured Document Tag
dateFormat  # Date Display Mask
dateGroupItem  # Date Grouping
date1904  # 1904 Date System
DayAccessed  # Day Accessed
Day  # Day
dayLong  # Date Block - Long Day Format
dayShort  # Date Block - Short Day Format
dbPr  # Database Properties
d  # Date Time
ddeItem  # DDE Item definition
d  # Delimiter Object
ddeLink  # DDE Connection
ddList  # Drop-Down List Form Field Properties
decimal  # Decimal
default  # Default Drop-Down List Item Index
default  # Default Checkbox Form Field State
default  # Default Text Box Form Field String
defaultTableStyle  # Default Table Style for Newly Inserted Tables
defaultTabStop  # Distance Between Automatic Tab Stops
defaultTextStyle  # Presentation Default Text Style
definedName  # Defined Name
definedName  # Defined Name
definedNames  # Defined Names
definedNames  # Named Links
defJc  # Default Justification
defPPr  # Default Paragraph Style
defRPr  # Default Text Run Properties
deg  # Degree
degHide  # Hide Degree
del  # Deleted Math Control Character
del  # Deleted Paragraph
del  # Deleted Run Content
del  # Deleted Table Row
delete  # Delete
deletedField  # Deleted Field
delInstrText  # Deleted Field Code
delText  # Deleted Text
den  # Denominator
Department  # Department
depthPercent  # Depth Percent
desc  # Description
desc  # Description
description  # Description for Entry
desc  # Style Label Description
destination  # Merged Document Destination
dgm  # Diagram to Animate
diagonal  # Diagonal
dialogsheet  # Dialog Sheet
diamond  # Diamond Slide Transition
diff  # Differential
DigSig  # Digital Signature
dimension  # OLAP Dimension
dimensions  # OLAP Dimensions
dimension  # Worksheet Dimensions
dir  # Bidirectional Embedding Level
dir  # Diagram Direction
Director  # Director
dirty  # Invalidated Field Cache
discretePr  # Discrete Grouping Properties
dispBlanksAs  # Display Blanks As
dispDef  # Use Display Math Defaults
dispEq  # Display Equation
displayHorizontalDrawingGridEvery  # Distance between Horizontal Gridlines
displayVerticalDrawingGridEvery  # Distance between Vertical Gridlines
dispUnitsLbl  # Display Units Label
dissolve  # Dissolve Slide Transition
divId  # Associated HTML div ID
divId  # Associated HTML div ID
div  # Information About Single HTML div Element
divsChild  # Child div Elements Contained within Current div
dk1  # Dark 1
dk2  # Dark 2
dLbl  # Data Label
dLblPos  # Data Label Position
dLbls  # Data Labels
docDefaults  # Document Default Paragraph and Run Properties
docGrid  # Document Grid
docPartBody  # Contents of Glossary Document Entry
docPartCategory  # Document Part Category Filter
docPart  # Document Part Reference
docPart  # Glossary Document Entry
docPartList  # Document Part Gallery Structured Document Tag
docPartObj  # Built-In Document Part Structured Document Tag
docPartPr  # Glossary Document Entry Properties
docParts  # List of Glossary Document Entries
docPartUnique  # Built-In Document Part
docPr  # Drawing Object Non-Visual Properties
document  # Document
documentProtection  # Document Editing Restrictions
documentType  # Document Classification
docVars  # Document Variables
doNotAutoCompressPictures  # Do Not Automatically Compress Images
doNotEmbedSmartTags  # Remove Smart Tags When Saving
doNotExpandShiftReturn  # Don't Justify Lines Ending in Soft Line Break
doNotHyphenateCaps  # Do Not Hyphenate Words in ALL CAPITAL LETTERS
doNotLeaveBackslashAlone  # Display Backslash As Yen Sign
doNotOrganizeInFolder  # Do Not Place Supporting Files in Subdirectory
doNotRelyOnCSS  # Do Not Rely on CSS for Font Face Formatting
doNotSuppressBlankLines  # Remove Blank Lines from Merged Documents
doNotTrackFormatting  # Do Not Track Formatting Revisions When Tracking Revisions
doNotUseLongFileNames  # Do Not Use File Names Longer than 8.3 Characters
doNotUseMarginsForDrawingGridOrigin  # Do Not Use Margins for Drawing Grid Origin
doNotValidateAgainstSchema  # Do Not Validate Custom XML Markup Against Schemas
downBars  # Down Bars
dPr  # Delimiter Properties
dPt  # Data Point
drawing  # Drawing
drawing  # DrawingML Object
drawingGridHorizontalOrigin  # Drawing Grid Horizontal Origin Point
drawingGridHorizontalSpacing  # Drawing Grid Horizontal Grid Unit Size
drawingGridVerticalOrigin  # Drawing Grid Vertical Origin Point
drawingHF  # Drawing Reference in Header Footer
dropDownList  # Drop-Down List Structured Document Tag
dropLines  # Drop Lines
ds  # Dash Stop
dstrike  # Double Strikethrough
dTable  # Data Table
duotone  # Duotone Effect
dxf  # Formatting
dxfs  # Formats
dynamicAddress  # Use Country-Based Address Field Ordering
dynamicFilter  # Dynamic Filter
ea  # East Asian Font
eastAsianLayout  # East Asian Typography Settings
Editor  # Editor
effect  # Animated Text Effect
effectClrLst  # Effect Color List
effectDag  # Effect Container
effect  # Effect
effect  # Effect
effectExtent  # Object Extents Including Effects
effectRef  # Effect Reference
effectStyle  # Effect Style
effectStyleLst  # Effect Style List
else  # Else
embedBold  # Bold Style Font Style Embedding
embedBoldItalic  # Bold Italic Font Style Embedding
embeddedFont  # Embedded Font
embeddedFontLst  # Embedded Font List
embed  # Embedded Object or Control
embedItalic  # Italic Font Style Embedding
embedRegular  # Regular Font Style Embedding
embedSystemFonts  # Embed Common System Fonts
embedTrueTypeFonts  # Embed TrueType Fonts
emboss  # Embossing
em  # Emphasis Mark
empty  # Empty
encoding  # Output Encoding When Saving as Web Page
end  # Audio End Time
endCondLst  # End Conditions List
endCxn  # Connection End
endChr  # Delimiter Ending Character
endnote  # Endnote Content
endnotePr  # Section-Wide Endnote Properties
endnoteRef  # Endnote Reference Mark
endnotes  # Document Endnotes
endnote  # Special Endnote List
endParaRPr  # End Paragraph Run Properties
endSnd  # Stop Sound Action
end  # Table Cell Trailing Edge Border
end  # Table Cell Trailing Margin Default
end  # Table Cell Trailing Margin Exception
end  # Table Trailing Edge Border
end  # Trailing Edge Border
entries  # Entries
entryMacro  # Script Function to Execute on Form Field Entry
eqArr  # Array Object
equation  # Equation Structured Document Tag
errBars  # Error Bars
errBarType  # Error Bar Type
errDir  # Error Bar Direction
error  # Error Status Code
errValType  # Error Bar Value Type
evenAndOddHeaders  # Different Even/Odd Page Headers and Footers
evenFooter  # Even Footer
evenFooter  # Even Page Footer
evenHeader  # Even Header
evenHeader  # Even Page Header
excl  # Exclusive
exitMacro  # Script Function to Execute on Form Field Exit
explosion  # Explosion
extend  # Extend
extent  # Drawing Object Size
externalBook  # External Workbook
externalData  # External Data Relationship
externalLink  # External Reference
externalReference  # External Reference
externalReferences  # External References
ext  # Extension
ext  # Extension
ext  # Extension
ext  # Extension
ext  # Extents
extLst  # Extension List
extLst  # Extension List
extLst  # Extension List
extLst  # Extension List
extLst  # Extension List with Modification Flag
extLst  # Chart Extensibility
extraClrScheme  # Extra Color Scheme
extraClrSchemeLst  # Extra Color Scheme List
extrusionClr  # Extrusion Color
ext  # Shape Extent
ext  # Shape Extent
fade  # Fade Slide Transition
family  # Font Family
family  # Font Family
ffData  # Form Field Properties
f  # Formula
f  # Formula
f  # Fraction Object
fgClr  # Foreground color
fHdr  # First Row of Data Source Contains Column Names
field  # Field
fieldGroup  # Field Group Properties
fieldMapData  # External Data Source to Merge Field Mapping
fieldsUsage  # Fields Usage
fieldUsage  # PivotCache Field Id
fileRecoveryPr  # File Recovery Properties
fileSharing  # File Sharing
filetime  # File Time
fillClrLst  # Fill Color List
fill  # Fill
fill  # Fill
fill  # Fill
fillOverlay  # Fill Overlay Effect
fillRect  # Fill Rectangle
fillRef  # Fill Reference
fills  # Fills
fillStyleLst  # Fill Style List
fillToRect  # Fill To Rectangle
filterColumn  # AutoFilter Column
filter  # PivotTable Advanced Filter
filters  # Filter Criteria
firstCol  # First Column
firstFooter  # First Footer
firstFooter  # First Page Footer
firstHeader  # First Header
firstHeader  # First Page Header
First  # Person's First, or Given, Name
firstRow  # First Row
firstSliceAng  # First Slice Angle
fitText  # Manual Run Width
flatBorders  # Frameset Splitter Border Style
flatTx  # No text in 3D scene
fldChar  # Complex Field Character
fldSimple  # Simple Field
fld  # Text Field
fltVal  # Float Value
fmtId  # Format ID
fmtScheme  # Format Scheme
fName  # Function Name
folHlink  # Followed Hyperlink
font  # Embedded Font Name
font  # Properties for a Single Font
fontRef  # Font Reference
fonts  # Fonts
fonts  # Font Table Root Element
