AbbreviatedCaseNumber  # Abbreviated Case Number
keepLines  # Keep All Lines On One Page
keepNext  # Keep Paragraph With Next Paragraph
kern  # Font Kerning
kinsoku  # Kinsoku Settings
kinsoku  # Use East Asian Typography Rules for First and Last Character per Line
kiosk  # Kiosk Slide Show Mode
k  # KPI MDX Metadata
kpi  # OLAP KPI
kpis  # OLAP KPIs
label  # Form Field Label
label  # Structured Document Tag Label
lang  # Editing Language
lang  # Languages for Run Content
lastCol  # Last Column
Last  # Person's Last, or Family, Name
lastRenderedPageBreak  # Position of Last Calculated Page Break
lastRow  # Last Row
latentStyles  # Latent Style Information
latin  # Latin Font
layoutDefHdr  # Layout Definition Header
layoutDefHdrLst  # Diagram Layout Header List
layoutDef  # Layout Definition
layoutNode  # Layout Node
layoutTarget  # Layout Target
lblAlgn  # Label Alignment
lblOffset  # Label Offset
LCID  # Locale ID
leaderLines  # Leader Lines
left  # Left Border
left  # Left Border
left  # Left Border for HTML div
left  # Left Paragraph Border
legendEntry  # Legend Entry
legend  # Legend
legendPos  # Legend Position
lid  # Date Picker Language ID
lid  # Language ID for Phonetic Guide
lid  # Merge Field Name Language ID
lightRig  # Light Rig
lim  # Limit
limLoc  # n-ary Limit Location
limLow  # Lower-Limit Object
limUppPr  # Upper-Limit Properties
limUpp  # Upper-Limit Object
linClrLst  # Line Color List
lineChart  # Line Charts
Lines  # Number of Lines
lineTo  # Wrapping Polygon Line End Position
line3DChart  # 3D Line Charts
linkedToFile  # Maintain Link to Existing File
linkedTxbx  # Textual contents of shape
link  # Linked Object or Control
link  # Linked Style Reference
LinksUpToDate  # Links Up-to-Date
linkToQuery  # Query Contains Link to External Query File
lin  # Linear Gradient Fill
listEntry  # Drop-Down List Entry
listItem  # Combo Box List Item
listItem  # Drop-Down List Item
listSeparator  # List Separator for Field Code Evaluation
lit  # Literal
lnB  # Bottom Border Line Properties
lnBlToTr  # Bottom-Left to Top-Right Border Line Properties
lnNumType  # Line Numbering Settings
ln  # Outline
lnRef  # Line Reference
lnR  # Right Border Line Properties
lnSpc  # Line Spacing
lnStyleLst  # Line Style List
lnTlToBr  # Top-Left to Bottom-Right Border Line Properties
lnT  # Top Border Line Properties
location  # PivotTable Location
lockedCanvas  # Locked Canvas Container
locked  # Style Cannot Be Applied
lock  # Locking Setting
longDesc  # Frame Long Description
lpstr  # LPSTR
lpwstr  # LPWSTR
lsdException  # Latent Style Exception
lstStyle  # Text List Styles
lt1  # Light 1
lt2  # Light 2
lum  # Luminance
lumMod  # Luminance Modulation
lumOff  # Luminance Offset
lvlJc  # Justification
lvl  # Level
lvl  # Numbering Level Definition
lvlOverride  # Numbering Level Definition Override
lvlPicBulletId  # Picture Numbering Symbol Definition Reference
lvlText  # Numbering Level Text
lvl1pPr  # List Level 1 Text Style
lvl2pPr  # List Level 2 Text Style
lvl3pPr  # List Level 3 Text Style
lvl4pPr  # List Level 4 Text Style
lvl5pPr  # List Level 5 Text Style
lvl6pPr  # List Level 6 Text Style
lvl7pPr  # List Level 7 Text Style
lvl8pPr  # List Level 8 Text Style
lvl9pPr  # List Level 9 Text Style
mailAsAttachment  # Merged Document To E-Mail Attachment
mailMerge  # Mail Merge Settings
mailSubject  # Merged E-mail or Fax Subject Line
mainDocumentType  # Source Document Type
main  # Main
majorFont  # Major Font
majorGridlines  # Major Gridlines
majorTickMark  # Major Tick Mark
majorTimeUnit  # Major Time Unit
majorUnit  # Major Unit
Manager  # Name of Manager
MapInfo  # XML Mapping
mappedName  # Predefined Merge Field Name
maps  # OLAP Measure Group
Map  # XML Mapping Properties
marH  # Top and Bottom Margin for Frame
marker  # Marker
marker  # Show Marker
marLeft  # Left Margin for HTML div
marRight  # Right Margin for HTML div
marTop  # Top Margin for HTML div
marW  # Left and Right Margin for Frame
masterClrMapping  # Master Color Mapping
mathFont  # Math Font
mathPr  # Math Properties
maxDist  # Maximum Distribution
maxLength  # Text Box Form Field Maximum Length
max  # Maximum
mc  # Matrix Column
mcs  # Matrix Columns
mdx  # MDX Metadata Record
mdxMetadata  # MDX Metadata Information
measureGroup  # OLAP Measure Group
measureGroups  # OLAP Measure Groups
Medium  # Medium
member  # Member
members  # Members
mergeCell  # Merged Cell
mergeCells  # Merge Cells
metadata  # Metadata
metadataStrings  # Metadata String Store
metadataType  # Metadata Type Information
metadataTypes  # Metadata Types Collection
Middle  # Person's Middle, or Other, Name
min  # Minimum
minorGridlines  # Minor Gridlines
minorTimeUnit  # Minor Time Unit
minorUnit  # Minor Unit
minus  # Minus
mirrorIndents  # Use Left/Right Indents as Inside/Outside Indents
mirrorMargins  # Mirror Page Margins
miter  # Miter Line Join
m  # Matrix Object
MMClips  # Total Number of Multimedia Clips
m  # No Value
m  # No Value
modifyVerifier  # Modification Verifier
MonthAccessed  # Month Accessed
moveFrom  # Move Source Paragraph
moveFrom  # Move Source Run Content
moveFromRangeEnd  # Move Source Location Container - End
moveFromRangeStart  # Move Source Location Container - Start
moveTo  # Move Destination Paragraph
moveTo  # Move Path To
moveToRangeEnd  # Move Destination Location Container - End
movie  # Embedded Video
mpMap  # Member Properties Map
mp  # OLAP Member Property
mPr  # Matrix Properties
mr  # Matrix Row
mruColors  # MRU Colors
ms  # Set MDX Metadata
multiLevelType  # Abstract Numbering Definition Type
multiLvlStrRef  # Multi Level String Reference
name  # Abstract Numbering Definition Name
name  # Category Associated With Entry
name  # Data Source Name for Column
name  # Entry Name
name  # Form Field Name
name  # Frame Name
name  # Pivot Name
naryLim  # n-ary Limit Location
nary  # n-ary Operator Object
naryPr  # n-ary Properties
nc  # New Cell Data
ndxf  # New Formatting Information
newsflash  # Newsflash Slide Transition
nextCondLst  # Next Conditions List
next  # Style For Next Paragraph
n  # Numeric
noAutofit  # No AutoFit
noBorder  # Do Not Display Frameset Splitters
noBreakHyphen  # Non Breaking Hyphen Character
noBreak  # No Break
noEndnote  # Suppress Endnotes In Document
noFill  # No Fill
noLineBreaksAfter  # Custom Set of Characters Which Cannot End a Line
noLineBreaksBefore  # Custom Set Of Characters Which Cannot Begin A Line
noMultiLvlLbl  # No Multi-level Labels
noProof  # Do Not Check Spelling or Grammar
noPunctuationKerning  # Never Kern Punctuation Characters
noResizeAllowed  # Frame Cannot Be Resized
normalViewPr  # Normal View Properties
normAutofit  # Normal AutoFit
norm  # Normal
nor  # Normal Text
notesMasterIdLst  # List of Notes Master IDs
notesMaster  # Notes Master
notes  # Notes Slide
notesSz  # Notes Slide Size
notesTextViewPr  # Notes Text View Properties
notesViewPr  # Notes View Properties
notTrueType  # Not a TrueType outline Font
noWrap  # Don't Wrap Cell Content
null  # Null
numbering  # Numbering Definitions
NumberVolumes  # Number of Volumes
numFmt  # Footnote Numbering Format
numFmt  # Number Format
numFmt  # Number Format
numFmt  # Numbering Format
numFmts  # Number Formats
numIdMacAtCleanup  # Last Reviewed Abstract Numbering Definition
numId  # Numbering Definition Instance Reference
numLit  # Number Literal
num  # Numbering Definition Instance
num  # Numerator
numPicBullet  # Picture Numbering Symbol Definition
numPr  # Numbering Definition Instance Reference
numRef  # Number Reference
numRestart  # Footnote and Endnote Numbering Restart Location
numStart  # Footnote and Endnote Numbering Starting Value
nvCxnSpPr  # Connector Non Visual Properties
nvCxnSpPr  # Non-Visual Properties for a Connection Shape
nvCxnSpPr  # Non-Visual Properties for a Connection Shape
nvGraphicFramePr  # Non-Visual Graphic Frame Properties
nvGraphicFramePr  # Non-Visual Properties for a Graphic Frame
nvGraphicFramePr  # Non-Visual Properties for a Graphic Frame
nvGraphicFramePr  # Non-Visual Properties for a Graphic Frame
nvGrpSpPr  # Non-Visual Group Shape Properties
nvGrpSpPr  # Non-Visual Properties for a Group Shape
nvGrpSpPr  # Non-Visual Properties for a Group Shape
nvGrpSpPr  # Non-Visual Properties for a Group Shape
nvPicPr  # Non-Visual Picture Properties
nvPicPr  # Non-Visual Picture Properties
nvPr  # Non-Visual Properties
nvSpPr  # Non-Visual Properties for a Shape
nvSpPr  # Non-Visual Properties for a Shape
nvSpPr  # Non-Visual Properties for a Shape
nvSpPr  # Non-Visual Shape Properties
nwCell  # Northwest Cell
objectDefaults  # Object Defaults
objectEmbed  # Embedded Object Properties
objectLink  # Linked Object Properties
objectPr  # Embedded Object Properties
oblob  # Binary Blob Object
oc  # Old Cell Data
oddFooter  # Odd Footer
oddHeader  # Odd Header
oddHeader  # Odd Header
odso  # Office Data Source Object Settings
odxf  # Old Formatting Information
off  # Offset
ofPieChart  # Pie of Pie or Bar of Pie Charts
ofPieType  # Pie of Pie or Bar of Pie Type
olapPr  # OLAP Properties
oldFormula  # Old Formula
oleChartEl  # Embedded Chart Element
oleItem  # Object Link Item
oleItems  # Object Link Items
oleLink  # Generic Object Link Connection
oleObject  # Embedded Object
oleObjects  # Embedded Objects
oleObj  # Global Element for Embedded objects and Controls
oleSize  # Embedded Object Size
oMath  # Office Open XML Math
oMathPara  # Office Math Paragraph
oneCellAnchor  # One Cell Anchor Shape Size
opEmu  # Operator Emulator
optimizeForBrowser  # Disable Features Not Supported by Target Web Profile
order  # Order
order  # Polynomial Trendline Order
orgChart  # Show Organization Chart User Interface
orientation  # Axis Orientation
origin  # View Origin
ostorage  # Binary Storage Object
ostream  # Binary Stream Object
otherStyle  # Slide Master Other Text Style
outerShdw  # Outer Shadow Effect
outline  # Display Character Outline
outlineLvl  # Associated Outline Level
outline  # Outline
outlinePr  # Outline Properties
outlineViewPr  # Outline View Properties
overflowPunct  # Allow Punctuation to Extend Past Text Extents
overlap  # Overlap
overlay  # Overlay
overrideClrMapping  # Override Color Mapping
pageBreakBefore  # Start Paragraph on Next Page
pageField  # Page Field
pageFields  # Page Field Items
pageItem  # Page Item
pageMargins  # Page Margins
pageMargins  # Page Margins
page  # Page Items
pageSetup  # Page Setup
pageSetUpPr  # Page Setup Properties
pages  # Page Item Values
Pages  # Pages
Pages  # Total Number of Pages
pane  # View Pane
panose1  # Panose-1 Typeface Classification Number
paperSrc  # Paper Source Information
Paragraphs  # Total Number of Paragraphs
parameter  # Parameter Properties
parameters  # Query Parameters
param  # Parameter
par  # Parallel Time Node
PatentNumber  # Patent Number
pathLst  # List of Shape Paths
path  # Path Gradient
path  # Shape Path
patternFill  # Pattern
pattFill  # Pattern Fill
pBdr  # Paragraph Borders
penClr  # Pen Color for Slide Show
Performer  # Performer
PeriodicalTitle  # Periodical Title
permEnd  # Range Permission End
permStart  # Range Permission Start
personalCompose  # E-Mail Message Composition Style
Person  # Person
perspective  # Perspective
pgBorders  # Page Borders
pgMar  # Page Margins
pgNum  # Page Number Block
pgNumType  # Page Numbering Settings
pgSz  # Page Size
phant  # Phantom Object
phantPr  # Phantom Properties
phoneticPr  # Phonetic Properties
photoAlbum  # Photo Album Information
picLocks  # Picture Locks
picture  # Background Image
pictureFormat  # Picture Format
pictureOptions  # Picture Options
picture  # Picture Structured Document Tag
pictureStackUnit  # Picture Stack Unit
pie3DChart  # 3D Pie Charts
pitch  # Font Pitch
pivotArea  # Pivot Area
pivotAreas  # Pivot Areas
pivotCacheDefinition  # PivotCache Definition
pivotCache  # PivotCache
pivotCacheRecords  # PivotCache Records
pivotField  # PivotTable Field
pivotFields  # PivotTable Fields
pivotFmt  # Pivot Format
pivotFmts  # Pivot Formats
pivotHierarchies  # PivotTable OLAP Hierarchies
pivotHierarchy  # OLAP Hierarchy
pivotSelection  # PivotTable Selection
pivotSource  # Pivot Source
pivotTableDefinition  # PivotTable Definition
pixelsPerInch  # Pixels per Inch for Graphics/Images
placeholder  # Custom XML Element Placeholder Text
placeholder  # Structured Document Tag Placeholder Text
plotArea  # Plot Area
plotVisOnly  # Plot Visible Only
plus  # Plus
p  # Member Property MDX Metadata
pos  # Comment Position
pos  # Endnote Placement
pos  # Footnote Placement
positionH  # Horizontal Positioning
position  # Vertically Raised or Lowered Text
positionV  # Vertical Positioning
posOffset  # Absolute Position Offset
pos  # Position
pos  # Position
pos  # Shape Position Coordinate
postSp  # Post-Paragraph Spacing
p  # Paragraph
pPrDefault  # Default Paragraph Properties
pPr  # Numbering Level Associated Paragraph Properties
pPr  # Paragraph Properties
pPr  # Paragraph Properties
pPr  # Previous Paragraph Properties
pPr  # Style Paragraph Properties
pPr  # Table Style Conditional Formatting Paragraph Properties
pPr  # Text Paragraph Properties
PresentationFormat  # Intended Format of Presentation
presentation  # Presentation
presentationPr  # Presentation-wide Properties
presLayoutVars  # Presentation Layout Variables
presOf  # Presentation Of
preSp  # Pre-Paragraph Spacing
prevCondLst  # Previous Conditions List
pRg  # Paragraph Text Range
printerSettings  # Reference to Printer Settings Data
printFormsData  # Only Print Form Field Content
printFractionalCharacterWidth  # Print Fractional Character Widths
printOptions  # Print Options
printSettings  # Print Settings
printTwoOnOne  # Print Two Pages Per Sheet
prnPr  # Printing Properties
ProducerName  # Producer Name
ProductionCompany  # Production Company
progress  # Progress
proofErr  # Proofing Error Anchor
proofState  # Spelling and Grammatical Checking State
Properties  # Application Specific File Properties
Properties  # Custom File Properties
protectedRange  # Protected Range
protectedRanges  # Protected Ranges
protection  # Protection
protection  # Protection Properties
prSet  # Property Set
prstClr  # Preset Color
prstDash  # Preset Dash
prstGeom  # Preset geometry
prstShdw  # Preset Shadow
prstTxWarp  # Preset Text Warp
pStyle  # Paragraph Style's Associated Numbering Level
pStyle  # Referenced Paragraph Style
ptab  # Absolute Position Tab Character
ptCount  # Point Count
ptLst  # Point List
pt  # Numeric Point
pt  # Point
pt  # Shape Path Point
pt  # String Point
PublicationTitle  # Publication Title
pull  # Pull Slide Transition
push  # Push Slide Transition
qFormat  # Primary Style
quadBezTo  # Draw Quadratic Bezier Curve To
queryCache  # OLAP Query Cache
query  # Query
query  # Query For Data Source Records To Merge
queryTableField  # QueryTable Field
queryTable  # Query Table
queryTableRefresh  # QueryTable Refresh Information
quickTimeFile  # QuickTime from File
radarChart  # Radar Charts
radarStyle  # Radar Style
rad  # Radical Object
raf  # Revision AutoFormat
randomBar  # Random Bar Slide Transition
rAngAx  # Right Angle Axes
rangePr  # Range Grouping Properties
rangeSet  # Range Set
rangeSets  # Range Sets
rcft  # Revision Merge Conflict
rc  # Metadata Record
rcmt  # Revision Cell Comment
rCtr  # Rotation Center
rcv  # Revision Custom View
rdn  # Revision Defined Name
readModeInkLockDown  # Freeze Document Layout
recipientData  # Data About Single Data Source Record
recipientData  # Reference to Inclusion/Exclusion Data for Data Source
recipients  # Inclusion/Exclusion Data for Data Source
rect  # Shape Text Rectangle
redOff  # Red Offset
red  # Red
references  # References
reflection  # Reflection Effect
RefOrder  # Reference Order
regular  # Regular Embedded Font
relIds  # Explicit Relationships to Diagram Parts
relOff  # Relative Offset Effect
relSizeAnchor  # Relative Anchor Shape Size
removeDateAndTime  # Remove Date and Time from Annotations
Reporter  # Reporter
restoredLeft  # Normal View Restored Left Properties
reviewedList  # Reviewed List
reviewed  # Reviewed
revisions  # Revisions
revisionView  # Visibility of Annotation Types
rfmt  # Revision Format
rFonts  # Run Fonts
rgbColor  # RGB Color
right  # Right Border
right  # Right Border
right  # Right Border for HTML div
right  # Right Paragraph Border
rich  # Rich Text
richText  # Rich Text Structured Document Tag
ris  # Revision Insert Sheet
rMargin  # Right Margin
rot  # Rotation
rotX  # X Rotation
rotY  # Y Rotation
roundedCorners  # Rounded Corners
rowFields  # Row Fields
rowHierarchiesUsage  # Row OLAP Hierarchy References
rowHierarchyUsage  # Row OLAP Hierarchies
rowItems  # Row Items
rowOff  # Row Offset
row  # Row
row  # Row
row  # Row
r  # PivotCache Record
rPrDefault  # Default Run Properties
rPrChange  # Revision Information for Run Properties on the Paragraph Mark
rPr  # Numbering Symbol Run Properties
rPr  # Previous Run Properties
rPr  # Previous Run Properties for the Paragraph Mark
rPr  # Run Properties
rPr  # Run Properties
rPr  # Run Properties
rPr  # Run Properties
rPr  # Run Properties
rPr  # Run Properties For Structured Document Tag Contents
rPr  # Run Properties for the Paragraph Mark
rPr  # Structured Document Tag End Character Run Properties
rPr  # Table Style Conditional Formatting Run Properties
rPr  # Text Run Properties
rqt  # Revision Query Table
r  # Rich Text Run
r  # Run
rsid  # Revision Identifier for Style Definition
rsidRoot  # Original Document Revision Save ID
rsid  # Single Session Revision Save ID
rsids  # Listing of All Revision Save ID Values
rsnm  # Revision Sheet Name
rSpRule  # Row Spacing Rule
rStyle  # Referenced Character Style
r  # Text Run
r  # Text Run
rtlGutter  # Gutter on Right Side of Page
rtl  # Right to Left Run
rtl  # Right To Left Text
rtn  # Runtime Node Trigger Choice
rt  # Phonetic Guide Text
rubyAlign  # Phonetic Guide Text Alignment
rubyPr  # Phonetic Guide Properties
ruleLst  # Rule List
rule  # Rule
r4  # 4-Byte Real Number
r8  # 8-Byte Real Number
sampData  # Sample Data
satOff  # Saturation Offset
sat  # Saturation
saveFormsData  # Only Save Form Field Content
saveSmartTagsAsXml  # Save Smart Tag Data in XML Property Bag
saveSubsetFonts  # Subset Fonts When Embedding
saveThroughXslt  # Custom XSL Transform To Use When Saving As XML File
saveXmlDataOnly  # Only Save Custom XML Markup
ScaleCrop  # Thumbnail Display Mode
scale  # View Scale
scatterChart  # Scatter Charts
scatterStyle  # Scatter Style
scenario  # Scenario
scenarios  # Scenarios
scene3d  # 3-D Scene
scene3d  # 3D Scene Properties
scrgbClr  # RGB Color Model - Percentage Variant
scrollbar  # Scrollbar Display Option
scr  # Script
sdt  # Block-Level Structured Document Tag
sdtContent  # Block-Level Structured Document Tag Content
sdtContent  # Row-Level Structured Document Tag Content
sdtEndPr  # Structured Document Tag End Character Properties
sdtPr  # Structured Document Tag Properties
sdt  # Row-Level Structured Document Tag
seCell  # Southeast Cell
secondPiePt  # Second Pie Point
secondPieSize  # Second Pie Size
sectPr  # Document Final Section Properties
sectPrChange  # Revision Information for Section Properties
sectPr  # Previous Section Properties
sectPr  # Section Properties
securityDescriptor  # Security Descriptor
selection  # Selection
selection  # Selection
semiHidden  # Hide Style From Main User Interface
separator  # Footnote/Endnote Separator Mark
separator  # Separator
sepChr  # Delimiter Separator Character
seq  # Sequence Time Node
ser  # Area Chart Series
serAx  # Series Axis
ser  # Bar Chart Series
ser  # Bubble Chart Series
ser  # Line Chart Series
serLines  # Series Lines
ser  # Radar Chart Series
ser  # Scatter Chart Series
ser  # Surface Chart Series
serverFormat  # Server Format
serverFormats  # Server Formats
set  # OLAP Set
set  # Set Time Node Behavior
settings  # Document Settings
shade  # Shade
Shading Properties  # CT_Shd
shadow  # Shadow
shadow  # Shadow
shape  # Shape
shape  # Shape
SharedDoc  # Shared Document
sharedItems  # Shared Items
Shared  # WordprocessingML and DrawingML
shd  # Run Shading
shd  # Table Shading
shd  # Table Shading Exception
sheetCalcPr  # Sheet Calculation Properties
sheetData  # External Sheet Data Set
sheetDataSet  # Cached Worksheet Data
sheetData  # Sheet Data
sheetFormatPr  # Sheet Format Properties
sheetIdMap  # Sheet Id Map
sheetId  # Sheet Id
sheetName  # Sheet Name
sheetNames  # Supporting Workbook Sheet Names
sheetProtection  # Chart Sheet Protection
sheetProtection  # Sheet Protection Options
sheetPr  # Sheet Properties
sheet  # Sheet Information
sheets  # Sheets
sheetView  # Chart Sheet View
sheetViews  # Chart Sheet Views
sheetView  # Worksheet View
ShortTitle  # Short Title
showBubbleSize  # Show Bubble Size
showCatName  # Show Category Name
showDLblsOverMax  # Show Data Labels over Maximum
showEnvelope  # Show E-Mail Message Header
showHorzBorder  # Show Horizontal Border
showingPlcHdr  # Current Contents Are Placeholder Text
showKeys  # Show Legend Keys
showLeaderLines  # Show Leader Lines
showLegendKey  # Show Legend Key
showNegBubbles  # Show Negative Bubbles
showOutline  # Show Outline Border
showPercent  # Show Percent
showPr  # Presentation-wide Show Properties
showSerName  # Show Series Name
showVal  # Show Value
showVertBorder  # Show Vertical Border
showXMLTags  # Show Visual Indicators for Custom XML Markup Start/End Locations
s  # Character Value
s  # Character Value
schema  # Custom XML Schema Reference
schemaRef  # Associated XML Schema
schemaRefs  # Set of Associated XML Schemas
Schema  # XML Schema
scheme  # Scheme
sideWall  # Side Wall
sig  # Supported Unicode Subranges and Code Pages
simplePos  # Simple Positioning Coordinates
singleXmlCells  # Single Cells
singleXmlCell  # Table Properties
si  # String Item
sizeAuto  # Automatically Size Form Field
size  # Checkbox Form Field Size
sizeRepresents  # Size Represents
size  # Size
sldAll  # All Slides
sldIdLst  # List of Slide IDs
sldId  # Slide ID
sldLayoutIdLst  # List of Slide Layouts
sldLayout  # Slide Layout
sldLst  # List of Presentation Slides
sldLst  # List of Presentation Slides
sldMasterIdLst  # List of Slide Master IDs
sldMasterId  # Slide Master ID
sldMaster  # Slide Master
sld  # Presentation Slide
sld  # Presentation Slide
sld  # Presentation Slide
sldRg  # Slide Range
sldSyncPr  # Slide Synchronization Properties
sldSz  # Presentation Slide Size
sldTgt  # Slide Target
Slides  # Slides Metadata Element
slideViewPr  # Slide View Properties
smallCaps  # Small Caps
smartTag  # Inline-Level Smart Tag
smartTagPr  # Smart Tag Properties
smartTagPr  # Smart Tag Properties
smartTags  # Smart Tags
smartTags  # Smart Tags
smartTagType  # Smart Tag Type
smartTagTypes  # Smart Tag Types
smartTagType  # Supplementary Smart Tag Information
smooth  # Smoothing
snapToGrid  # Use Document Grid Settings For Inter-Character Spacing
snapToGrid  # Use Document Grid Settings for Inter-Line Paragraph Spacing
sndAc  # Sound Action
snd  # Hyperlink Sound
snd  # Sound
sndTgt  # Sound Target
softEdge  # Soft Edge Effect
softHyphen  # Optional Hyphen Character
solidFill  # Solid Fill
sortByTuple  # Sort By Tuple
sortCondition  # Sort Condition
sorterViewPr  # Slide Sorter View Properties
sortState  # Sort State
sourceFileName  # Source File for Frame
Sources  # Sources
SourceType  # Source Type
spaceForUL  # Add Additional Space Below Baseline For Underlined East Asian Text
spacing  # Character Spacing Adjustment
spAutoFit  # Shape AutoFit
spcAft  # Space After
spcBef  # Space Before
spcPts  # Spacing Points
spDef  # Shape Default
specVanish  # Paragraph Mark Is Always Hidden
splitPos  # Split Position
split  # Split Slide Transition
splitType  # Split Type
spPr  # Shape Properties
spPr  # Shape Properties
spPr  # Shape Properties
spPr  # Shape Properties
spPr  # Shape Properties
spPr  # Shape Properties
spPr  # Shape Properties
spPr  # Shape Properties
sPre  # Pre-Sub-Superscript Object
sPrePr  # Pre-Sub-Superscript Properties
sp  # Shape
sp  # Shape
sp  # Shape
sp  # Shape
sp3d  # Apply 3D shape properties
sp3d  # 3-D Shape Properties
src  # ODSO Data Source File Path
srcRect  # Source Rectangle
srgbClr  # RGB Color Model - Hex Variant
sst  # Shared String Table
sSubPr  # Subscript Properties
sSubSupPr  # Sub-Superscript Properties
sSubSup  # Sub-Superscript Object
sSup  # Superscript Object
ST_AdjAngle  # Adjustable Angle Methods
ST_AdjCoordinate  # Adjustable Coordinate Methods
ST_AlignV  # Vertical Alignment Definition
StandardNumber  # Standard Number
ST_AnimationBuildType  # Animation Build Type
ST_AnimationDgmBuildType  # Diagram Animation Build Type
ST_AnimationDgmOnlyBuildType  # Diagram only Animation Types
ST_AnimationChartBuildType  # Chart Animation Build Type
ST_AnimationChartOnlyBuildType  # Chart only Animation Types
ST_AnimLvlStr  # Animation Level String Definition
ST_AnimOneStr  # One by One Animation Value Definition
ST_AnnotationVMerge  # Table Cell Vertical Merge Revision Type
ST_ArrayBaseType  # Array Base Type Simple Type
start  # Leading Edge Border
startOverride  # Numbering Level Starting Value Override
start  # Starting Value
start  # Table Cell Leading Edge Border
start  # Table Cell Leading Margin Default
start  # Table Cell Leading Margin Exception
start  # Table Leading Edge Border
start  # Wrapping Polygon Start
Station  # Station
statusText  # Associated Status Text
st  # Audio Start Time
ST_Axis  # PivotTable Axis
ST_AxisType  # Axis Type
ST_AxisTypes  # Axis Type List
ST_AxisUnit  # Axis Unit
ST_AxPos  # Axis Position
ST_BarGrouping  # Bar Grouping
ST_BendPoint  # Bend Point
ST_BevelPresetType  # Bevel Presets
ST_BlackWhiteMode  # Black and White Mode
ST_BlendMode  # Blend Mode
ST_BlipCompression  # Blip Compression Type
ST_BookmarkIdSeed  # Bookmark ID Seed
ST_Booleans  # Boolean List.
ST_BoolOperator  # Boolean Constraint
ST_Border  # Border Styles
ST_BorderStyle  # Border Line Styles
ST_BrClear  # Line Break Text Wrapping Restart Location
ST_BreakBin  # Break Binary Operators
ST_BreakBinSub  # Break on Binary Subtraction
ST_Breakpoint  # Breakpoint
ST_BrType  # Break Types
ST_BubbleScale  # Bubble Scale
ST_BubbleScalePercent  # Bubble Scale Percentage
ST_BuiltInUnit  # Built-In Unit
ST_CalcMode  # Calculation Mode
ST_CalendarType  # Calendar Types
ST_CaptionPos  # Automatic Caption Positioning Values
ST_CellComments  # Cell Comments
ST_CellRef  # Cell Reference
ST_CellSpans  # Cell Spans
ST_CellStyleXfId  # Cell Style Format Id
ST_CenterShapeMapping  # Center Shape Mapping
ST_CfType  # Conditional Format Type
ST_CfvoType  # Conditional Format Value Object Type
ST_ClrAppMethod  # Color Application Method Type
ST_ColID  # Column ID
ST_CompoundLine  # Compound Line Type
ST_ConditionalFormattingOperator  # Conditional Format Operators
stCondLst  # Start Conditions List
ST_ConformanceClass  # Document Conformance Class Value
ST_ConnectorDimension  # Connector Dimension
ST_ConnectorPoint  # Connector Point
ST_ConnectorRouting  # Connector Routing
ST_ConstraintRelationship  # Constraint Relationship
ST_ConstraintType  # Constraint Type
ST_ContinueDirection  # Continue Direction
ST_Coordinate  # Coordinate
ST_CoordinateUnqualified  # Coordinate
ST_Coordinate32  # Coordinate Point
ST_CredMethod  # Credentials Method
ST_CrossBetween  # Cross Between
ST_Crosses  # Crosses
stCxn  # Connection Start
ST_CxnType  # Connection Type
ST_Cy  # Currency Simple Type
ST_DataConsolidateFunction  # Data Consolidation Functions
ST_DataValidationErrorStyle  # Data Validation Error Styles
ST_DataValidationImeMode  # Data Validation IME Mode
ST_DataValidationOperator  # Data Validation Operator
ST_DataValidationType  # Data Validation Type
ST_DateTime  # Standard Date and Time Storage Format
ST_DdeValueType  # DDE Value Types
ST_DecimalNumber  # Decimal Number Value
ST_DecimalNumberOrPercent  # Percentage Measurement
ST_DepthPercent  # Depth Percent
ST_DepthPercentWithSymbol  # Depth Percent with Symbol
ST_DgmBuildStep  # Diagram Animation Build Steps
ST_DiagramHorizontalAlignment  # Horizontal Alignment
ST_DiagramTextAlignment  # Text Alignment
ST_Direction  # Bidirectional Direction Types
ST_Direction  # Diagram Direction Definition
ST_Direction  # Direction
ST_DispBlanksAs  # Display Blanks As
ST_DisplacedByCustomXml  # Location of Custom XML Markup Displacing an Annotation
ST_DLblPos  # Data Label Position
ST_DocGrid  # Document Grid Types
ST_DocPartBehavior  # Insertion Behavior Types
ST_DocPartGallery  # Entry Gallery Types
ST_DocPartType  # Entry Types
ST_DocProtect  # Document Protection Types
ST_DocType  # Document Classification Values
ST_DrawingElementId  # Drawing Element ID
ST_DropCap  # Text Frame Drop Cap Location
ST_DvAspect  # Data View Aspect Type
ST_DxfId  # Format Id
ST_DynamicFilterType  # Dynamic Filter
ST_EditAs  # Resizing Behaviors
ST_EdnPos  # Endnote Positioning Location
ST_EffectContainerType  # Effect Container Type
ST_EighthPointMeasure  # Measurement in Eighths of a Point
ST_ElementType  # Data Point Type
ST_ElementTypes  # Diagream Layout Node Type List
ST_Em  # Emphasis Mark Type
ST_ErrBarType  # Error Bar Type
ST_ErrDir  # Error Bar Direction
ST_Error  # Error Status Code Simple Type
ST_ErrValType  # Error Value Type
ST_ExternalConnectionType  # Text Field Datatype
ST_FallbackDimension  # Fallback Dimension
ST_FFHelpTextVal  # Help Text Value
ST_FFName  # Form Field Name Value
ST_FFStatusTextVal  # Status Text Value
ST_FFTextType  # Text Box Form Field Type Values
ST_FieldSortType  # Field Sort Type
